start	end	text
1.046979865771812	1.1073825503355703	No.
1.5033557046979866	1.6845637583892616	Dov'è?
2.0	3.0445414847161576	Mi sei dire dov'è la mia motivazione che non la trovo?
4.720805369127517	5.00268456375839	Fermati!
5.6000000000000005	6.00268456375839	Non rispondere!
6.6000000000000005	7.78485596707819	Tu non puoi sapere dove io posso trovare la mia motivazione.
9.600446096654276	12.671821561338291	Christian, voglio iniziare ma non riesco a trovare la mia motivazione.
13.000805369127518	13.524295302013424	Come faccio?
13.88	14.826308724832217	Mi puoi aiutare?
14.88	18.813288135593222	L'aiuto più grande che io ti posso dare è che io non ti posso aiutare a trovare la
18.8	19.66577181208054	tua motivazione.
20.020583554376657	25.37474801061008	Sei tu che devi trovare ciò che ti motiva l'azione per poi poterlo utilizzare come
25.36	26.103681592039802	leva per raggiungere il tuo obiettivo.
27.540350877192985	33.39498746867168	Quindi in questo senso io non ti posso aiutare, ma posso aiutarti a capire come fare, posso
33.4	35.004432132963984	aiutarti e darti gli strumenti necessari per trovare ciò che ti motiva all'azione.
38.78041916167665	43.354071856287426	Tieni benamente che i motivatori non esistono, o meglio, i motivatori sono quelli che fanno
43.339999999999996	48.87468085106383	il tifo per te, ma non sono quelli che fanno il lavoro per te, che fanno il lavoro al posto
48.879999999999995	48.94040268456375	tuo.
50.28148698884758	53.29263940520446	Ti voglio fare uno degli esempi per aiutarti a capire, dato che funzionano sempre molto
53.561879194630876	53.70281879194631	bene.
54.300064724919096	58.493592233009714	Giacomino fa un lavoro che lo opprime. Tutti i giorni al lavoro viene trattato male, viene
58.480000000000004	64.5148275862069	pagato poco, ci va senza voglia, ma a casa ha una famiglia che lo aspetta, ha dei figli
64.62	69.11391304347826	che mangiano solo grazie alla pagnotta che lui porta a casa. Quindi Giacomino ha due
69.08	74.49463414634147	possibilità, o trova l'idea del secolo per sbancare il lunario, oppure continua a fare
74.48	79.09398176291793	il lavoro che sta facendo, ma ti garantisco che in ogni caso lo fa volentieri alla fine
79.08	84.01374301675978	dei conti. E sai perché? Perché a casa ha ciò che lo motiva all'azione, i suoi figli.
84.38031168831168	89.85449350649351	Quindi ogni giorno, nonostante tutto, continua a fare quella vita e sarebbe disposto a fare
89.98	95.99481481481482	molto di più. Perché questo? Perché a casa ha i suoi figli, ha ciò che lo motiva all'azione
96.1	101.13353099730458	e questo motiva all'azione è fortissimo. Un altro esempio. Io fino a qualche anno fa
102.08132678132678	107.05351351351351	ero posseduto, ti dico la realtà, posseduto da una psoriasi incredibile. Tutto l'anno,
107.72005633802817	112.85447887323944	giorni, creme su creme, soldi su soldi, ed ogni volta che andavo da uno specialista mi
112.82000000000001	117.77427745664741	sentivo dire non c'è nulla da fare. Mi sono chiesto, è possibile? Allora ho iniziato
117.76	119.48473829201103	a studiare come un pazzo il tema. L'apsoriasi è causata dall'infiammazione, l'infiammazione
123.04	125.02503816793894	è causata in gran parte dalla tua alimentazione e dallo stile di vita che fai, quindi se elimino
129.18080996884737	133.3938940809969	tutto ciò che causa l'infiammazione e miglioro drasticamente il mio stile di vita potrai
133.60054919908467	140.75688787185356	guarire. E così è stato, la psoriasi è sparita. Zero soldi, zero medicine e zero medici. Il mio
140.12	145.11443478260873	motivo all'azione è stato per me devastante, non volevo più essere oppresso da questa malattia e
145.240464037123	151.7154524361949	quindi mi sono adoperato per sconfiggerla. Non ho pianto tutti i giorni, mi sono adoperato tutti
151.74016620498617	156.91445983379504	i giorni per sconfiggerla. È una scelta come sempre. Come vedi sei ciò che ti motiva all'azione,
157.18065162907268	162.95508771929826	è fortissimo, vieni mosso da quello. Non importa nulla, continui come un trattore lungo il tuo
163.10051282051285	168.0545868945869	percorso, non c'è niente da fare. Se invece ciò che ti motiva l'azione è futile, ha
168.16054495912803	173.31455040871933	poco significato, della serie voglio dimagrire per questo estate e poi dopo torno a mangiare
173.48043360433604	178.71457994579944	come prima, farai molta poca strada, garantito. Voglio imparare a mangiare bene perché sta
178.84037151702788	183.1938080495356	arrivando l'estate, non mi fare arrabbiare. Voglio imparare a mangiare bene così per
183.2	188.55401574803147	i prossimi 3 mesi avrò un fisico top, poi ci ripensierò il prossimo anno, non funziona.
188.98042545871556	193.01264220183484	Oppure ancora più spesso mi capita questo, voglio imparare a mangiare bene perché...
